sample_name,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__succinus,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__guillouiae,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__xenophagum,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__agalactiae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__melaninogenica,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__infantis,Other
12502.3P07,0.995789474,0,0,0,0.001578948,0,0,0,0,0.001052632,0,0,0,0,0.000526316,0,0,0,0,0,0.001052632
12502.0P10,0.99,0,0,0,0.000526316,0,0,0,0,0.002631579,0,0,0,0.000526316,0,0,0,0.000526316,0,0,0.005789475
12502.1T02,0.995789474,0,0.000526316,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632,0,0,0.001578948
12502.6T09,0.971052632,0,0.024736842,0,0.000526316,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.00263158
12502.0C11,0.948947368,0,0.002105263,0,0.016315789,0,0,0.004210527,0,0,0,0.000526316,0.015263158,0,0,0,0,0,0,0,0.012631579
12502.6P01,0.994736842,0,0,0,0.001052632,0,0,0,0,0.002631579,0,0,0,0,0,0,0,0,0,0,0.001578948
12502.0C12,0.997894737,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.001578948
12502.2T02,0.988947368,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0.007894737,0,0,0.002105264
12502.2P02,0.882631579,0.114210526,0,0,0,0,0,0,0,0.001052632,0,0,0,0.000526316,0,0,0,0,0,0,0.001578948
12502.6T01,0.996842105,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.002105264
12502.1P10,0.923157895,0.071578947,0,0,0.000526316,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.003684212
12502.0T02,0.983684211,0,0,0,0,0,0,0,0,0.002105263,0,0,0,0,0,0,0,0.011578947,0,0,0.00263158
12502.2T05,0,0.953684211,0,0,0.001052632,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0.044736845
12502.3T09,0.002631579,0.003684211,0.961578947,0,0.007894737,0,0,0,0,0.002631579,0,0,0,0,0,0,0,0.001052632,0.001578948,0,0.018947373
12502.6T08,0.522631579,0.475789474,0,0,0,0,0,0,0,0.000526316,0,0.000526316,0,0,0,0,0,0,0,0,0.000526316
12502.3P01,0.862631579,0,0.018421053,0,0.000526316,0,0,0.000526316,0,0.001052632,0,0,0,0,0,0,0,0,0.001052632,0,0.115789475
12502.3T01,0.997894737,0,0,0,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.2T03,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316
12502.2T10,0.987894737,0,0.001578947,0,0.000526316,0,0,0,0,0.002105263,0,0,0,0.001052632,0,0,0,0,0.001578947,0,0.005263159
12502.2T04,0.984210526,0,0.009473684,0,0,0,0,0,0,0.002631579,0,0,0.000526316,0,0,0,0,0,0.000526316,0,0.00263158
12502.2P04,0.996315789,0,0,0,0,0,0,0.000526316,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.002105264
12502.0P02,0.642105263,0.355263158,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.002105264
12502.1T08,0,0.996315789,0,0,0.001052632,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.002105264
12502.6P09,0.994210526,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0.000526316,0,0.004210528
12502.1T03,0.987368421,0,0.000526316,0,0.000526316,0,0,0,0,0.000526316,0,0.000526316,0.001578947,0,0.001578948,0,0,0,0,0,0.007368423
12502.3P08,0.067368421,0.93,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.002105263
12502.2P07,0.998421053,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.6T04,0.998421053,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.2T01,0.992631579,0,0,0,0.001052632,0,0,0,0,0.002105263,0,0,0,0,0,0,0,0,0,0,0.004210527
12502.1P02,0.588421053,0.408421053,0,0,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.002105264
12502.0T08,0,0.996842105,0,0,0,0,0,0.000526316,0,0.001578947,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.1T10,0.997894737,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.001052632
12502.2P10,0.881052632,0.111578947,0,0,0.001052632,0,0,0.001052632,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.004210528
12502.6P08,0.410526316,0.585789474,0,0,0.000526316,0,0,0,0,0.000526316,0,0,0,0,0.001578947,0,0,0,0,0,0.001052632
12502.6T10,0.996842105,0,0,0,0,0,0,0,0,0.002105263,0,0,0,0,0,0,0,0,0.000526316,0,0.000526316
12502.6T05,0.001052632,0.993157895,0,0,0.000526316,0,0,0.001052632,0,0.002105263,0,0,0,0,0,0,0,0,0.000526316,0,0.001578948
12502.2P06,0.991578947,0,0,0,0.000526316,0,0,0,0,0.003157895,0,0,0,0,0,0,0,0,0,0,0.004736843
12502.2T06,0.996842105,0,0,0,0.000526316,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.001578948
12502.6P05,0.997894737,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0.001578948
12502.1T05,0.000526316,0.991052632,0,0,0.001578947,0,0,0.000526316,0,0.001052632,0,0,0.000526316,0,0,0,0,0,0,0,0.004736844
12502.0T05,0.011052632,0.978421053,0.000526316,0,0.000526316,0,0,0,0,0.000526316,0,0,0.003157895,0.001578948,0,0,0,0,0.000526316,0,0.003684212
12502.3P09,0.996842105,0,0,0,0.000526316,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0.001578948
12502.0C10,0.761052632,0.000526316,0,0,0,0,0,0,0,0.234736842,0,0,0,0,0.001052632,0,0,0,0,0.000526316,0.002105264
12502.0C7,0.961052632,0,0.001052632,0,0,0,0,0,0,0.004736842,0,0,0,0.002631579,0.002631579,0,0,0,0,0,0.02789474
12502.0H9,0.974736842,0,0,0,0,0,0,0,0.000526316,0.007368421,0,0,0,0.001052632,0.001578948,0,0,0,0,0,0.014736843
12502.0H4,0.995263158,0,0,0,0,0,0,0,0,0.003684211,0,0,0,0,0,0,0,0,0,0.000526316,0.000526316
12502.0L3,0.452631579,0,0.537894737,0,0,0,0,0,0,0.002105263,0,0,0,0,0,0,0,0,0,0,0.007368423
12502.0L8,0.995789474,0,0,0,0,0,0,0,0,0.002631579,0,0,0,0,0,0.000526316,0,0,0,0.000526316,0.000526316
12502.0L1,0.985789474,0,0,0,0,0,0,0,0,0.003684211,0,0,0,0.001578947,0.000526316,0,0,0,0,0.003684211,0.004736844
12502.0C2,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0
12502.0H2,0.997894737,0,0,0,0,0,0,0,0,0.002105263,0,0,0,0,0,0,0,0,0,0,0
12502.0C6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0C5,0.992105263,0,0,0,0,0,0,0,0,0.007894737,0,0,0,0,0,0,0,0,0,0,0
12502.0L9,0.996315789,0,0,0,0,0,0,0,0,0.003157895,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.0H6,0.184736842,0.766315789,0,0,0.000526316,0,0,0,0,0.002105263,0,0,0,0,0,0,0,0.022105263,0,0,0.024210527
12502.0H7,0.001578947,0.994210526,0,0,0,0,0,0,0,0.003157895,0,0,0,0,0.000526316,0,0,0,0,0.000526316,0
12502.0H1,0.994210526,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0.000526316,0,0,0,0,0.004210528
12502.0H3,0.913684211,0.084210526,0,0,0,0,0,0,0,0.002105263,0,0,0,0,0,0,0,0,0,0,0
12502.0H8,0.01,0.000526316,0,0,0.001052632,0,0,0,0,0.099473684,0.000526316,0,0,0.279473684,0.000526316,0,0,0,0,0,0.608421054
12502.0H10,0.996315789,0,0,0,0,0,0,0,0,0.002631579,0,0,0,0,0,0,0,0,0,0.000526316,0.000526316
12502.0C9,0.997894737,0,0,0,0,0,0,0,0,0.002105263,0,0,0,0,0,0,0,0,0,0,0
